buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
7350.0,49.0,300.0,273.22158110141754,62.34768858065582,14700,7350.0,385.5931897163391
7500.0,50.0,300.0,294.17441415786743,69.49746787852953,15000,7500.0,389.90989446640015
7650.0,51.0,300.0,619.2312379479408,70.87762182989691,15300,7650.0,394.1425428390503
7800.0,52.0,300.0,477.99129915237427,67.5676574027859,15600,7800.0,398.582537651062
7950.0,53.0,300.0,513.0742671489716,72.4770600983778,15900,7950.0,402.7217786312103
8100.0,54.0,300.0,340.0367615222931,73.21154829339912,16200,8100.0,406.8194935321808
8250.0,55.0,300.0,438.58204996585846,66.46877501411606,16500,8250.0,411.332891702652
8400.0,56.0,300.0,266.8428026493639,68.60294092391138,16800,8400.0,415.7058825492859
8550.0,57.0,300.0,290.9021689891815,67.17450154895351,17100,8550.0,420.1718635559082
8700.0,58.0,300.0,340.7057058811188,65.65360544020338,17400,8700.0,424.74130058288574
8850.0,59.0,300.0,316.58938789367676,67.94212799926393,17700,8850.0,429.1568238735199
9000.0,60.0,300.0,302.36399841308594,71.89323000778016,18000,9000.0,433.3296790122986
9150.0,61.0,300.0,270.73555076122284,71.86382295709677,18300,9150.0,437.5042417049408
9300.0,62.0,300.0,57.722563952207565,72.61536245493464,18600,9300.0,441.6355996131897
9450.0,63.0,300.0,304.9572124481201,69.31404124013234,18900,9450.0,445.96372723579407
9600.0,64.0,300.0,406.1096690930426,67.02827635019933,19200,9600.0,450.4394507408142
9750.0,65.0,300.0,355.92434906959534,66.7464786782418,19500,9750.0,454.9340708255768
9900.0,66.0,300.0,231.57828783988953,68.13791735104697,19800,9900.0,459.3369061946869
10050.0,67.0,300.0,330.41350424289703,3.3458827816080823,20100,10050.0,548.9993426799774
10200.0,68.0,300.0,45.83915224671364,65.59742583954005,20400,10200.0,553.5726935863495
10350.0,69.0,300.0,281.8028699159622,66.77340155309342,20700,10350.0,558.0655009746552
10500.0,70.0,300.0,279.1374965906143,66.61087400081006,21000,10500.0,562.5692706108093
